GEOID,STATEFP,COUNTYFP,metro_code,Hub_distance,NAME_2,NAMELSAD_2,Metro_Area
06029003305,06,029,37100.0,69691.30175134288,Los Angeles,Los Angeles County,Los Angeles
06029003308,06,029,,70732.22043466364,Los Angeles,Los Angeles County,Los Angeles
06029005513,06,029,,93094.59131615653,Los Angeles,Los Angeles County,Los Angeles
06029005514,06,029,,88029.37082541917,Los Angeles,Los Angeles County,Los Angeles
06029005700,06,029,31080.0,105325.97655417131,Los Angeles,Los Angeles County,Los Angeles
06029006011,06,029,,76420.30503455922,Los Angeles,Los Angeles County,Los Angeles
06037101110,06,037,31080.0,33192.89876147913,Los Angeles,Los Angeles County,Los Angeles
06037101122,06,037,31080.0,34069.117880721846,Los Angeles,Los Angeles County,Los Angeles
06037101220,06,037,31080.0,33206.40547661467,Los Angeles,Los Angeles County,Los Angeles
06037101221,06,037,,32777.038141837984,Los Angeles,Los Angeles County,Los Angeles
06037101222,06,037,,32766.89126138729,Los Angeles,Los Angeles County,Los Angeles
06037101300,06,037,31080.0,33600.542142812745,Los Angeles,Los Angeles County,Los Angeles
06037101400,06,037,31080.0,31714.686914879447,Los Angeles,Los Angeles County,Los Angeles
06037102103,06,037,31080.0,26744.266685881314,Los Angeles,Los Angeles County,Los Angeles
06037102104,06,037,31080.0,26429.45887104691,Los Angeles,Los Angeles County,Los Angeles
06037102105,06,037,31080.0,25657.9203719794,Los Angeles,Los Angeles County,Los Angeles
06037102107,06,037,31080.0,28999.092051381547,Los Angeles,Los Angeles County,Los Angeles
06037103101,06,037,31080.0,33569.58466442055,Los Angeles,Los Angeles County,Los Angeles
06037103102,06,037,31080.0,32716.147786905833,Los Angeles,Los Angeles County,Los Angeles
06037103201,06,037,,32046.199295533665,Los Angeles,Los Angeles County,Los Angeles
06037103202,06,037,,31905.032430180134,Los Angeles,Los Angeles County,Los Angeles
06037103300,06,037,31080.0,29668.84591379424,Los Angeles,Los Angeles County,Los Angeles
06037103401,06,037,,31273.226547058173,Los Angeles,Los Angeles County,Los Angeles
06037103402,06,037,,32005.858412760153,Los Angeles,Los Angeles County,Los Angeles
06037104103,06,037,31080.0,30426.873967613006,Los Angeles,Los Angeles County,Los Angeles
06037104105,06,037,31080.0,29338.800921093367,Los Angeles,Los Angeles County,Los Angeles
06037104108,06,037,31080.0,29291.691167765,Los Angeles,Los Angeles County,Los Angeles
06037104124,06,037,31080.0,31686.923852241445,Los Angeles,Los Angeles County,Los Angeles
06037104201,06,037,31080.0,29950.081164515028,Los Angeles,Los Angeles County,Los Angeles
06037104203,06,037,31080.0,29362.98258286126,Los Angeles,Los Angeles County,Los Angeles
06037104204,06,037,31080.0,31027.995879178765,Los Angeles,Los Angeles County,Los Angeles
06037104310,06,037,31080.0,28449.095288940476,Los Angeles,Los Angeles County,Los Angeles
06037104321,06,037,,28367.665126507753,Los Angeles,Los Angeles County,Los Angeles
06037104322,06,037,,28490.392778558733,Los Angeles,Los Angeles County,Los Angeles
06037104401,06,037,31080.0,27370.0341162541,Los Angeles,Los Angeles County,Los Angeles
06037104403,06,037,31080.0,26461.25846548071,Los Angeles,Los Angeles County,Los Angeles
06037104404,06,037,31080.0,27191.456509429,Los Angeles,Los Angeles County,Los Angeles
06037104500,06,037,31080.0,26444.419234590965,Los Angeles,Los Angeles County,Los Angeles
06037104610,06,037,31080.0,27199.596746559215,Los Angeles,Los Angeles County,Los Angeles
06037104620,06,037,31080.0,26811.079376387224,Los Angeles,Los Angeles County,Los Angeles
06037104701,06,037,31080.0,28155.047771515117,Los Angeles,Los Angeles County,Los Angeles
06037104703,06,037,31080.0,27446.55654967572,Los Angeles,Los Angeles County,Los Angeles
06037104704,06,037,31080.0,27813.13600593334,Los Angeles,Los Angeles County,Los Angeles
06037104821,06,037,31080.0,25923.621762053604,Los Angeles,Los Angeles County,Los Angeles
06037104822,06,037,31080.0,25663.46756896907,Los Angeles,Los Angeles County,Los Angeles
06037104823,06,037,,26297.684015331655,Los Angeles,Los Angeles County,Los Angeles
06037104824,06,037,,26694.000336780384,Los Angeles,Los Angeles County,Los Angeles
06037106010,06,037,31080.0,33154.238143835035,Los Angeles,Los Angeles County,Los Angeles
06037106020,06,037,31080.0,33146.904965231806,Los Angeles,Los Angeles County,Los Angeles
06037106111,06,037,31080.0,33492.80476942124,Los Angeles,Los Angeles County,Los Angeles
06037106112,06,037,31080.0,32031.25855676319,Los Angeles,Los Angeles County,Los Angeles
06037106113,06,037,31080.0,31764.884516396625,Los Angeles,Los Angeles County,Los Angeles
06037106114,06,037,31080.0,31253.345830405247,Los Angeles,Los Angeles County,Los Angeles
06037106403,06,037,31080.0,31165.04682385644,Los Angeles,Los Angeles County,Los Angeles
06037106405,06,037,31080.0,31893.446006537877,Los Angeles,Los Angeles County,Los Angeles
06037106406,06,037,31080.0,32422.615386010875,Los Angeles,Los Angeles County,Los Angeles
06037106407,06,037,31080.0,31780.75693685046,Los Angeles,Los Angeles County,Los Angeles
06037106408,06,037,31080.0,31963.74686197623,Los Angeles,Los Angeles County,Los Angeles
06037106510,06,037,31080.0,32085.81257835943,Los Angeles,Los Angeles County,Los Angeles
06037106520,06,037,31080.0,30949.7552668597,Los Angeles,Los Angeles County,Los Angeles
06037106603,06,037,31080.0,30411.501794836084,Los Angeles,Los Angeles County,Los Angeles
06037106604,06,037,31080.0,30205.130349590232,Los Angeles,Los Angeles County,Los Angeles
06037106641,06,037,31080.0,29009.10105316917,Los Angeles,Los Angeles County,Los Angeles
06037106642,06,037,31080.0,27688.370604097712,Los Angeles,Los Angeles County,Los Angeles
06037106643,06,037,31080.0,27848.32197126855,Los Angeles,Los Angeles County,Los Angeles
06037106645,06,037,31080.0,28329.587567371185,Los Angeles,Los Angeles County,Los Angeles
06037106646,06,037,31080.0,27150.217493461743,Los Angeles,Los Angeles County,Los Angeles
06037106648,06,037,31080.0,29399.965344078853,Los Angeles,Los Angeles County,Los Angeles
06037106649,06,037,31080.0,28867.09265747627,Los Angeles,Los Angeles County,Los Angeles
06037107010,06,037,31080.0,30596.706115073914,Los Angeles,Los Angeles County,Los Angeles
06037107020,06,037,31080.0,30014.899543162534,Los Angeles,Los Angeles County,Los Angeles
06037108101,06,037,31080.0,26502.430810108035,Los Angeles,Los Angeles County,Los Angeles
06037108102,06,037,31080.0,26540.0357459736,Los Angeles,Los Angeles County,Los Angeles
06037108103,06,037,31080.0,27303.332273033637,Los Angeles,Los Angeles County,Los Angeles
06037108104,06,037,31080.0,28126.478437193935,Los Angeles,Los Angeles County,Los Angeles
06037108202,06,037,37100.0,27216.21799989519,Los Angeles,Los Angeles County,Los Angeles
06037108203,06,037,,27914.8648021498,Los Angeles,Los Angeles County,Los Angeles
06037108204,06,037,,26554.05076760008,Los Angeles,Los Angeles County,Los Angeles
06037109100,06,037,31080.0,27514.282124045196,Los Angeles,Los Angeles County,Los Angeles
06037109200,06,037,31080.0,27272.95541083608,Los Angeles,Los Angeles County,Los Angeles
06037109300,06,037,31080.0,26472.91915516436,Los Angeles,Los Angeles County,Los Angeles
06037109400,06,037,31080.0,26819.13307215982,Los Angeles,Los Angeles County,Los Angeles
06037109500,06,037,31080.0,27704.503692950384,Los Angeles,Los Angeles County,Los Angeles
06037109601,06,037,31080.0,25885.548670240143,Los Angeles,Los Angeles County,Los Angeles
06037109603,06,037,31080.0,24955.760578292127,Los Angeles,Los Angeles County,Los Angeles
06037109604,06,037,31080.0,25795.01356891166,Los Angeles,Los Angeles County,Los Angeles
06037109700,06,037,31080.0,25463.39995243458,Los Angeles,Los Angeles County,Los Angeles
06037109800,06,037,31080.0,24561.877548860415,Los Angeles,Los Angeles County,Los Angeles
